caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
154,10,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
155,9,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"Less than $25,000",1
156,6,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
157,4,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Fair,"Less than $25,000",0
158,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",1
159,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",0
160,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
161,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
162,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",2
163,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$125,000 and more",1
164,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
165,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
166,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",0
167,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",1
168,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",1
169,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
170,8,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
171,9,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"Less than $25,000",0
172,10,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
173,1,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
174,10,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
175,7,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",1
176,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
177,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
178,10,Less than high school diploma or its equivalent,NA,Don't know,"Less than $25,000",1
179,10,Less than high school diploma or its equivalent,NA,Excellent,"$25,000 to $49,999",1
180,9,High school diploma or a high school equivalency certificate,Don't know,Very good,"$25,000 to $49,999",1
181,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
182,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$50,000 to $74,999",1
183,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Good,"$25,000 to $49,999",0
184,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
185,5,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",0
186,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
187,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
188,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"Less than $25,000",0
189,9,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$50,000 to $74,999",1
190,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",2
191,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$50,000 to $74,999",0
192,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
193,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
194,7,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
195,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
196,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
