caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
19616,10,"University certificate, diploma or degree above the bach...",50.1 hours and more,Excellent,"$50,000 to $74,999",1
19617,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",1
19618,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",0
19619,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19620,5,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
19621,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19622,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$100,000 to $ 124,999",1
19623,NA,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
19624,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
19625,8,"University certificate, diploma or degree above the bach...",NA,Very good,"$100,000 to $ 124,999",1
19626,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
19627,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
19628,7,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Very good,"$50,000 to $74,999",1
19629,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",2
19630,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
19631,8,High school diploma or a high school equivalency certificate,NA,Very good,"$50,000 to $74,999",1
19632,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19633,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$125,000 and more",1
19634,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$125,000 and more",1
19635,8,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",1
19636,10,Trade certificate or diploma,NA,Very good,"$50,000 to $74,999",1
19637,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
19638,6,Trade certificate or diploma,NA,Good,"$25,000 to $49,999",1
19639,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
19640,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
19641,10,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
19642,7,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$25,000 to $49,999",0
19643,10,Less than high school diploma or its equivalent,NA,Excellent,"$75,000 to $99,999",1
19644,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$75,000 to $99,999",3
19645,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
19646,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
19647,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
19648,6,"College, CEGEP or other non-university certificate or di...",Don't know,Excellent,"$25,000 to $49,999",1
19649,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19650,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$50,000 to $74,999",1
19651,8,Trade certificate or diploma,50.1 hours and more,Excellent,"Less than $25,000",1
19652,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$50,000 to $74,999",1
19653,3,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Poor,"$25,000 to $49,999",0
19654,9,Trade certificate or diploma,0.1 to 29.9 hours,Good,"$25,000 to $49,999",1
19655,6,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",0
19656,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
19657,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$100,000 to $ 124,999",1
19658,9,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
19659,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",1
19660,9,Trade certificate or diploma,50.1 hours and more,Excellent,"$50,000 to $74,999",1
19661,8,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
19662,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$125,000 and more",0
19663,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",2
19664,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
19665,9,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19666,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",0
19667,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"Less than $25,000",1
19668,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
19669,6,"College, CEGEP or other non-university certificate or di...",NA,Fair,"$50,000 to $74,999",1
19670,10,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",2
19671,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
19672,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
19673,5,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
19674,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",0
19675,9,High school diploma or a high school equivalency certificate,NA,Poor,"Less than $25,000",0
19676,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"$75,000 to $99,999",1
19677,7,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
19678,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19679,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",2
19680,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
19681,10,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
19682,8,High school diploma or a high school equivalency certificate,Don't know,Excellent,"Less than $25,000",0
19683,10,Trade certificate or diploma,50.1 hours and more,Good,"$25,000 to $49,999",0
19684,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$75,000 to $99,999",1
19685,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
19686,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19687,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Poor,"$50,000 to $74,999",1
19688,8,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
19689,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",2
19690,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
19691,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"Less than $25,000",0
19692,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19693,9,Trade certificate or diploma,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
19694,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19695,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19696,10,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19697,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19698,7,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
19699,10,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
19700,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
19701,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",0
19702,8,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",0
19703,3,"College, CEGEP or other non-university certificate or di...",NA,Fair,"Less than $25,000",3
19704,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"Less than $25,000",1
19705,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$125,000 and more",1
19706,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19707,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19708,5,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Fair,"$25,000 to $49,999",0
19709,NA,NA,NA,Don't know,"Less than $25,000",1
19710,9,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19711,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$25,000 to $49,999",1
19712,7,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
19713,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$75,000 to $99,999",2
19714,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
19715,9,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
19716,9,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
19717,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
19718,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
19719,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$50,000 to $74,999",1
19720,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
19721,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
19722,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",0
19723,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19724,10,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$125,000 and more",0
19725,7,High school diploma or a high school equivalency certificate,50.1 hours and more,Good,"$100,000 to $ 124,999",0
19726,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19727,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"Less than $25,000",0
19728,9,"University certificate, diploma or degree above the bach...",NA,Very good,"$50,000 to $74,999",1
19729,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
19730,5,High school diploma or a high school equivalency certificate,Don't know,Good,"$25,000 to $49,999",1
19731,9,University certificate or diploma below the bachelor's level,NA,Excellent,"$25,000 to $49,999",0
19732,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
19733,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
19734,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",1
19735,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19736,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
19737,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$50,000 to $74,999",1
19738,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
19739,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",2
19740,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
19741,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"Less than $25,000",1
19742,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
19743,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19744,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",1
19745,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19746,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",0
19747,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19748,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Fair,"Less than $25,000",1
19749,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",2
19750,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
19751,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19752,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
19753,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19754,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",1
19755,9,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",2
19756,8,High school diploma or a high school equivalency certificate,Don't know,Very good,"$25,000 to $49,999",1
19757,8,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
19758,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"Less than $25,000",1
19759,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
19760,8,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",1
19761,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19762,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
19763,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
19764,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",0
19765,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
19766,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19767,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19768,10,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",0
19769,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$75,000 to $99,999",1
19770,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
19771,7,Trade certificate or diploma,NA,Excellent,"Less than $25,000",1
19772,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",2
19773,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
19774,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
19775,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"Less than $25,000",1
19776,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
19777,10,Less than high school diploma or its equivalent,Don't know,Good,"Less than $25,000",1
19778,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19779,8,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
19780,5,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19781,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
19782,10,Less than high school diploma or its equivalent,NA,Excellent,"$125,000 and more",0
19783,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Poor,"Less than $25,000",0
19784,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
19785,9,Trade certificate or diploma,NA,Good,"Less than $25,000",1
19786,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19787,8,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",2
19788,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
19789,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
19790,8,Less than high school diploma or its equivalent,NA,Fair,"$25,000 to $49,999",2
19791,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",0
19792,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$75,000 to $99,999",1
19793,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",0
19794,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$50,000 to $74,999",0
19795,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19796,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"$75,000 to $99,999",1
19797,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
19798,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
19799,4,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Good,"$100,000 to $ 124,999",1
19800,7,"University certificate, diploma or degree above the bach...",NA,Excellent,"Less than $25,000",1
19801,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"Less than $25,000",1
19802,10,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",0
19803,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
19804,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19805,6,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
19806,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
19807,10,Trade certificate or diploma,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",0
19808,8,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Good,"$25,000 to $49,999",1
19809,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19810,9,"University certificate, diploma or degree above the bach...",NA,Very good,"Less than $25,000",4
19811,7,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",2
19812,9,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
19813,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
19814,8,Trade certificate or diploma,NA,Excellent,"$25,000 to $49,999",1
19815,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"Less than $25,000",0
19816,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
19817,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19818,9,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19819,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
19820,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
19821,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$25,000 to $49,999",2
19822,10,NA,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19823,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19824,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19825,2,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
19826,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19827,NA,NA,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19828,7,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
19829,10,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
19830,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19831,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",0
19832,7,"University certificate, diploma or degree above the bach...",NA,Good,"$25,000 to $49,999",0
19833,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",0
19834,10,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$75,000 to $99,999",1
19835,9,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
19836,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",1
19837,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
19838,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
19839,6,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
19840,7,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",0
19841,4,High school diploma or a high school equivalency certificate,NA,Fair,"$25,000 to $49,999",1
19842,7,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
19843,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
19844,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$25,000 to $49,999",1
19845,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
19846,5,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19847,9,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
19848,9,University certificate or diploma below the bachelor's level,NA,Very good,"$25,000 to $49,999",0
19849,10,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
19850,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
19851,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
19852,0,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19853,10,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",2
19854,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19855,10,Trade certificate or diploma,NA,Very good,"$25,000 to $49,999",1
19856,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",0
19857,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19858,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",1
19859,7,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",2
19860,6,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
19861,6,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",1
19862,8,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
19863,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19864,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$100,000 to $ 124,999",1
19865,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
19866,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$125,000 and more",1
19867,7,"University certificate, diploma or degree above the bach...",NA,Very good,"Less than $25,000",0
19868,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
19869,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
19870,8,Less than high school diploma or its equivalent,NA,Excellent,"$25,000 to $49,999",1
19871,9,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Good,"$75,000 to $99,999",1
19872,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
19873,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19874,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
19875,6,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19876,8,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
19877,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19878,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
19879,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
19880,5,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19881,5,"College, CEGEP or other non-university certificate or di...",NA,Fair,"Less than $25,000",1
19882,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Don't know,"$25,000 to $49,999",1
19883,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
19884,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",1
19885,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"Less than $25,000",1
19886,8,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
19887,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19888,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$125,000 and more",1
19889,7,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19890,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
19891,10,Less than high school diploma or its equivalent,Don't know,Poor,"Less than $25,000",0
